Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
Spain,3/23/2016,0,0,1,1,0,0,0,0
Sierra Leone,3/23/2016,5131,287,8704,14122,158,208,3589,3955
Senegal,3/23/2016,0,0,1,1,0,0,0,0
Mali,3/23/2016,0,1,7,8,,,,6
United Kingdom,3/23/2016,0,0,1,1,,,,0
Liberia,3/23/2016,,,9,9,,,3,3
Liberia,3/23/2016,5636,1879,3151,10666,,,,4806
Italy,3/23/2016,0,0,1,1,,,,0
Liberia,3/23/2016,0,3,2,5,,3,1,4
Nigeria,3/23/2016,0,1,19,20,0,1,7,8
United States of America,3/23/2016,0,0,4,4,0,0,1,1
